Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Sector_Group
Dealshare,2018,Bangalore,Retail,the next generation disruptive (social) e-commerce product for the masses.,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global,144000000.0,Unknown,2021,Data & AI
Teachmint,2020,Bangalore,EdTech,teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,20000000.0,Pre-Series B,2021,Education
Vahak,2017,Bangalore,Transportation,building india's largest & most trusted online transport marketplace & directory,"Vikas Chandrawat, Karan Shaha",Rtp Global,5000000.0,Pre-Series A,2021,Logistics & Transportation
Gostops,2014,New Delhi,Hospitality,gostops aims to be india’s biggest and most loved backpacker hostel brand.,"Pallavi Agarwal, Pankaj Parwanda","Ian, Yuj Ventures",1000000.0,Pre-Series A,2021,Health & Life Sciences
Codedamn,2020,New Delhi,Computer software,codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Mehul Mohan,Antler India,0.0,Pre-Seed,2021,Information Technology
Biocraft Innovation Technology,2019,Noida,Environmental service,innovation startup developing bamboo resources of india to be used in industrial use by developing injection moulding granules,"Vibha Mittal, Anubhav Mittal",Jito Angel Network,0.0,Pre-Seed,2021,Environmental & Sustainability
Powerplay,2020,Bangalore,Construction,powerplay helps simplify end to end construction and architecture project management.,"Shubham Goyal, Lesh Dixit","Sequoia’S Surge, Accel Partners",5200000.0,Unknown,2021,Real Estate & Construction
Accio Robotics,2020,Bangalore,Industrial Automation,accio robotics is involved in the designing and manufacturing of state-of-the-art robotics automation solutions.,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi,0.0,Unknown,2021,Manufacturing & Industrial
Delhivery,2011,Gurgaon,Logistics,"delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, Gic",270000000.0,Series H,2021,Logistics & Transportation
Avishkaar,2014,New Delhi,EdTech,india's leading ed-tech startup spearheading the maker revolution in the sub-continent,"Rajeev Gaba, Tarun Bhalla",Auxano,600000.0,Pre-Series A,2021,Education
Jobsgaar,2020,New Delhi,Job discovery platform,india's first district level/ hyper local job discovery platform,Atul Pratap Singh,Sucseed Indovation Fund,140000.0,Seed,2021,Social & Community
Almo,2020,Gurgaon,D2C Fashion,almo is a premium men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Abhishek Shah,Angelist India,0.0,Seed,2021,Retail & E-Commerce
Breathe Well-Being,2015,New Delhi,HealthCare,breathe wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Aditya Kaicker, Rohan Verma","Stanford Angels And Entrepreneurs India, Anjali Bansal",1000000.0,Pre-Series A,2021,Health & Life Sciences
Galaxeye,2020,Chennai,SpaceTech,galaxeye enables businesses to make better decisions & perform operations efficiently via space technology.,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",Speciale Invest,0.0,Pre-Seed,2021,Other
Good Health Clinic,2021,Hyderabad,HealthCare,full stack digital health clinic,Samarth Sindhi,Khosla Ventures,5000000.0,Unknown,2021,Health & Life Sciences
Urban Company,2014,New Delhi,Home services,urban company is an india-based company providing a marketplace for freelance labor.,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management",250000000.0,Series F,2021,Other
Mybyk,2014,Ahmedabad,Rental,mybyk is an app that provides premium bicycle sharing and rental service.,Arjit Soni,Avon Cycles,1000000.0,Pre-Series A,2021,Real Estate & Construction
